Lock Address,Count
75283a8,5
71259b0,5
583ffecac238,5
6705700,5
c000a80148,5
71a08e0,5
75eefe8,5
c000700148,5
72844e8,5
583fffdb94d8,5
7196900,5
6631168,5
8a0d008,5
c000324148,5
6c1b158,5
7ffc76741d50,5
300a7f8ee788,5
583ffeca9a58,5
300a778ae028,5
595f7409f468,5
6e3b2a8,5
5eec830,5
595f740a0228,5
583ffecabcb8,5
7ee2a78,5
57d2a34a4d40,5
7ffc80710a90,5
595f760b3a08,5
61bd4d8,5
595f740a1568,5
7559028,5
7ffd7d8ec8c0,5
713c8f8,5
595f740a04e8,5
743cf06ecb84,5
583fff7bf7a8,5
6e34458,5
6347258,5
583ffecabb58,5
7502268,5
726e1f8,5
61bd4e0,5
c000600148,5
5e1eeb8,5
300a7f8958a8,4
6ac3ec8,4
6ac4248,4
c000b00148,4
595f7409ff68,4
6309268,4
74f9b68ecb84,4
72364f8,4
583ffecaac38,4
736f730,4
5b983c0be5e8,4
6795788,4
c000580948,4
583ffecaaad8,4
575c980,4
613d7b8,4
7ffd9ab31fd0,4
c00037b148,4
5ff0168,4
583ffecabe18,4
7c47fa0ecb84,4
c0002b1148,4
595f740a0fe8,4
61e19a0,4
73e6c58,4
668e028,4
300a7f8ee888,4
595f79ac6de8,4
58400193ca08,4
583ffecac0d8,4
583ffecaa6b8,4
595f799d7d08,4
583ffeca9bb8,4
c000b00d48,4
6b34a58,4
61b4838,4
73e67b8,4
c000600d48,4
73d0b48,4
75413dec18f8,4
583ffeca9e78,4
595f7409fe08,4
726e448,4
6e35900,4
583ffecaa558,4
595f740a12a8,4
7419978,4
6ef5e98,4
72b0abeecb84,4
583ffecab9f8,4
6e8fe48,4
6d49e78,4
5a8ec48,4
583ffecab058,4
595f740a0a68,4
7421748,4
595f75aa9728,4
583fffa2ee18,4
c000580d48,3
300a57c2ecc8,3
6eed558,3
595f744b5c18,3
5a8eed8,3
300a5fe4dc38,3
6e36410,3
74e7bd8,3
5905758,3
61cdc58,3
7cd69de1ac80,3
afb9c8,3
5e57eef5c7f8,3
6162a38,3
595f740a0e88,3
300a7f8ee808,3
300a49091778,3
6bf2948,3
575e0f0,3
73ccdc8,3
7756818af020,3
300a43872b98,3
7ed7ec8b6fa8,3
c000101148,3
300a598eb9d8,3
7ffc76740db0,3
6f41c98,3
6e86008,3
6b0ba18,3
7fffc163a620,3
14f7c34,3
5905708,3
5faf678,3
7ffc80710b10,3
7ffd0e5ee8f0,3
761f7fbc6020,3
66b4e38,3
7ffeebf6faf0,3
6bba0c8,3
61c0218,3
583ffecab318,3
300a7f9db648,3
c000561548,3
7ffc76742000,3
300a5cf93648,3
57d2a348c148,3
595f7409fb48,3
6b6a898,3
595f7409f308,3
60d41c8,3
7fffc1640550,3
747f541ff8f8,3
624d2464d758,3
6673438,3
79e6f4000030,3
5f8f26fb97d0,3
c000601548,3
7e3f848,3
300a5f505188,3
300a777e0df8,3
7ef2898,3
c00037a148,3
624d2464c148,3
6f22be8,3
300a4a291b28,3
62bf987bd7f8,3
761f7d89f424,3
62c30f8,3
c000601148,3
6efd4c8,3
802d2f8,3
c00037b548,3
73cfe18,3
68f4598,3
79375e3ab904,3
66b3288,3
583ffeca9d18,3
62c3940,2
7f72c98,2
6e3bc50,2
300abeb72938,2
c000580148,2
5def2d8,2
c000700948,2
300a5fe4ccc8,2
300a7f620b48,2
579bfc8,2
6b94fb8,2
1a73e34,2
7fe1848,2
6bfc5e8,2
7ffc98cb9ea0,2
c000101d48,2
61390a8,2
7ffc98cb9e20,2
c0006c1d48,2
70fb768,2
5fcfd80,2
5f53678,2
300abeb73518,2
7d80b98,2
c000100d48,2
300a598ea348,2
300abbcee5a8,2
7fffc163b190,2
7ffcff68c0c0,2
300a776aaa68,2
67060c0,2
669c8c8,2
7ffeebf740e0,2
75f2845f23b8,2
c000700d48,2
75fb235346b8,2
300a4a1285a8,2
6635640,2
300a57c2e5a8,2
300a77686478,2
5e1f358,2
300abeb72478,2
300a777e0a68,2
6bf4f68,2
