Lock Address,Wait Time (us),Hold Time (us),Enter Count,Count
31e639470378,4145234.55,7330104.64,1274722,0
31e63f95e948,2066127.12,3912771.96,637377,0
31e63f928b10,2170390.54,3381524.67,650295,0
31e639471b78,4318809.91,7626478.85,1300751,0
31e63f95edc8,2156405.5,3989667.65,650287,0
31e63f994750,2171999.64,3357524.01,646494,0
31e6395eb378,4312539.48,7571596.91,1293190,0
31e63f95f248,2154514.4,3964566.77,646508,0
31e63f928ed0,2169389.72,3359581.57,644716,0
31e63f95f848,842159.71,1547104.23,248279,0
31e639388b78,1682249.47,2957475.34,496544,0
31e63fabd1a0,12.52,32.36,4,0
31e63bfa00d0,3.78,73.46,1,0
31e63f929290,2191641.41,3400838.88,635468,0
31e63f95fcc8,1632204.2,2968290.13,473512,0
31e6393f1378,3260713.01,5697591.09,947000,0
31e6393f5b78,4275998.41,7540821.31,1303046,0
31e63f929470,1970954.99,3141373.24,594883,0
31e63f9741c8,1292071.21,2381519.67,392150,0
31e63f929830,2161474.82,3411692.93,640728,0
31e638ac8378,3855931.13,6785056.82,1154797,0
31e63f974648,880624.07,1615197.2,269802,0
31e63f929ab0,2167334.55,3355956.56,650412,0
31e638ac9b78,4306069.83,7602726.29,1300626,0
31e63f974948,2146350.46,3947349.14,650172,0
31e63f929b50,2143749.96,3358826.93,656350,0
31e6395c7378,3105742.63,5480347.52,954325,0
31e63f974f48,1546594.55,2856492.62,477174,0
31e63f929dd0,2208392.9,3392282.24,635085,0
31e6388cdb78,4382838.69,7624838.74,1270427,0
31e63f975248,626873.39,1154124.3,184410,0
31e63f929e70,2150217.11,3307584.81,657900,0
31e638939378,4274134.38,7488124.47,1315639,0
31e63f975848,2132710.62,3949085.77,657717,0
31e63f994110,2159649.56,3359904.08,637608,0
31e6392ef378,4306760.08,7552981.6,1275770,0
31e63f975b48,459070.18,848851.17,141179,0
31e62b18ef28,166324.68,292677.74,40075,0
31e62b18f058,136483.99,279129.21,37660,0
31e62b18edf8,135068.5,259937.11,37657,0
31e62b18ecc8,113069.48,161802.64,22245,0
31e63f9c7188,105249.83,122798.74,17813,0
